region,state,site_name,site_id,epa_id,address,city,zip,county,ff,lattude,longitude,final_date
8,MT,ACM SMELTER AND REFINERY,800402,MTD093291599,"RIVER ROAD NORTH, 1 MILE E. OF 15TH ST",BLACK EAGLE,59414,CASCADE,N,47.52861,-111.24648,2011-03-10
8,MT,ANACONDA ALUMINUM CO COLUMBIA FALLS REDUCTION PLANT,800392,MTD057561763,EASTERN END OF ALUMINUM DRIVE,COLUMBIA FALLS,59912,FLATHEAD,N,48.39166,-114.136514,2016-09-09
8,MT,ANACONDA CO. SMELTER,800403,MTD093291656,3 MI SE OF ANACONDA,ANACONDA,59711,DEER LODGE,N,46.133576,-112.845493,1983-09-08
8,MT,BARKER HUGHESVILLE MINING DISTRICT,801208,MT6122307485,FOREST SERVICE ROAD 6403,MONARCH,59469,CASCADE,N,47.071683,-110.643788,2001-09-13
8,MT,BASIN MINING AREA,801057,MTD982572562,NORTH OF I-15,BASIN,59631,JEFFERSON,N,46.345479,-112.272079,1999-10-22
8,MT,CARPENTER SNOW CREEK MINING DISTRICT,801507,MT0001096353,NO SPECIFIC ADDRESS,NEIHART,59465,CASCADE,N,46.956312,-110.709797,2001-09-13
8,MT,EAST HELENA SITE,800377,MTD006230346,S OF E HELENA,EAST HELENA,59635,LEWIS AND CLARK,N,46.583866,-111.920692,1984-09-21
8,MT,FLAT CREEK IMM,801914,MT0012694970,FLAT CREEK ROAD AND HALL GULCH ROAD,SUPERIOR,59872,MINERAL,N,47.226375,-114.871355,2009-09-23
8,MT,IDAHO POLE CO.,800379,MTD006232276,CEDAR ST,BOZEMAN,59715,GALLATIN,N,45.688454,-111.023672,1986-06-10
8,MT,LIBBY ASBESTOS SITE,801744,MT0009083840,512 CALIFORNIA AVENUE,LIBBY,59923,LINCOLN,N,48.391528,-115.551111,2002-10-24
8,MT,LIBBY GROUND WATER CONTAMINATION,800412,MTD980502736,1119 & 1415 DAKOTA,LIBBY,59923,LINCOLN,N,48.381158,-115.539627,1983-09-08
8,MT,LOCKWOOD SOLVENT GROUND WATER PLUME,801709,MT0007623052,LOCKWOOD ROAD,BILLINGS,59101,YELLOWSTONE,N,45.801471,-108.457075,2000-12-01
8,MT,MILLTOWN RESERVOIR SEDIMENTS,800445,MTD980717565,ADJACENT TO SE SIDE OF TWN,MILLTOWN,59851,MISSOULA,N,46.86452,-113.883364,1983-09-08
8,MT,MONTANA POLE AND TREATING,800378,MTD006230635,202 W GREENWOOD AVENUE,BUTTE,59701,SILVER BOW,N,45.99134,-112.548242,1987-07-22
8,MT,MOUAT INDUSTRIES,800384,MTD021997689,ADJACENT TO AIR STRIP IN CY,COLUMBUS,59019,STILLWATER,N,45.633612,-109.245678,1986-06-10
8,MT,SILVER BOW CREEK/BUTTE AREA,800416,MTD980502777,BUTTE TO MILLTOWN RESERVIOR,BUTTE,59750,NA,N,46.002307,-112.61698,1983-09-08
8,MT,UPPER TENMILE CREEK MINING AREA,801699,MTSFN7578012,RIMINI ROAD,HELENA,59601,LEWIS AND CLARK,N,46.48091,-112.25399,1999-10-22
